id_histology,id_xenium,overlap,size_pix_histology
103342,54656,30,30
103344,62601,27,27
103347,54657,21,21
103348,62600,10,12
103350,62612,26,26
103352,54667,14,14
103353,62611,20,20
103355,54677,19,19
103358,62619,19,19
103360,54678,16,16
103363,54696,25,28
103367,54697,17,17
103368,62637,22,22
103369,54722,10,10
103370,62638,27,27
103371,54730,12,12
103372,62652,17,17
103376,54736,22,22
103377,62661,18,18
103378,54735,12,12
103379,54737,16,16
103382,62683,35,68
103384,54751,17,17
103385,54750,12,12
103387,54752,13,14
103388,54762,15,17
103389,62682,24,24
103392,54768,26,26
103393,62688,15,15
103394,54769,15,15
103395,62697,18,18
103397,54789,23,23
103400,54788,15,15
103401,62700,21,21
103402,54821,22,35
103407,54811,51,51
103409,54834,12,12
103410,54833,24,24
103411,62719,9,9
103413,54850,18,18
103414,62728,21,21
103415,62734,17,17
103416,62727,15,15
103417,62737,24,24
103418,54866,11,11
103419,54864,11,11
103420,54865,10,10
103421,54883,7,7
103422,62746,24,24
103425,62747,23,23
103426,62754,22,22
103427,62755,16,16
103431,54888,33,33
103433,54900,30,30
103434,62771,28,34
103436,54930,5,5
103441,54928,7,7
103444,54919,42,42
103449,62777,15,15
103450,62785,20,20
103451,62795,28,28
103452,54911,21,21
103453,54953,12,12
103454,62800,19,19
103455,62810,50,52
103456,62796,21,21
103457,54929,22,22
103459,54999,12,12
103460,54985,13,13
103462,55004,27,27
103465,54986,13,13
103466,62822,16,16
103469,55014,30,30
103473,55027,41,41
103475,55013,40,40
103476,62831,21,21
103477,55025,18,18
103478,55035,58,58
103479,55026,51,51
103480,55036,21,21
103481,62848,16,16
103483,55055,4,4
103484,62855,15,20
103485,62842,21,21
103487,62856,25,25
103492,62888,27,30
103493,55095,18,18
103496,55103,7,10
103497,62893,19,19
103498,62894,18,18
103499,55102,8,8
103502,55135,49,65
103503,62906,14,14
103504,55123,34,34
103505,55122,13,13
103508,55110,26,29
103510,55153,66,68
103511,55124,17,17
103512,55145,13,13
103513,55134,39,39
103514,62916,20,20
103515,62929,20,20
103520,62941,10,14
103521,62940,22,22
103523,55189,16,16
103524,55177,22,22
103527,62954,21,26
103528,62953,14,14
103531,62958,31,31
103534,62959,14,14
103535,55200,18,18
103539,55214,29,29
103540,62974,10,11
103542,62987,15,15
103543,55215,16,16
103544,62973,21,21
103545,55227,76,112
103548,62990,17,17
103551,55228,17,21
103552,62986,13,13
103553,62993,19,19
103555,55237,32,35
103556,55238,37,37
103559,63011,16,16
103560,55259,14,14
103562,62998,25,25
103563,55275,67,71
103565,55284,18,19
103567,55276,21,21
103568,55286,16,18
103569,55285,19,20
103570,63040,41,44
103572,63034,18,18
103575,63045,17,17
103576,63053,21,21
103577,63054,21,21
103578,55327,23,23
103580,55335,16,18
103583,55336,21,21
103585,63046,25,25
103586,55345,17,17
103587,55344,13,13
103588,55346,24,24
103590,55355,24,27
103593,55390,35,50
103594,55361,15,15
103597,55373,28,31
103600,55372,8,8
103603,55384,16,16
103607,63089,27,27
103608,63090,25,25
103609,55398,13,13
103610,55410,22,27
103612,63099,10,14
103616,55411,20,20
103617,63112,24,24
103618,55421,19,19
103619,63111,12,12
103620,55444,20,20
103623,63113,13,15
103624,55443,31,31
103625,63126,38,44
103626,55470,11,13
103629,55480,94,108
103630,63131,20,20
103631,63132,14,14
103634,55500,26,26
103635,55489,8,8
103644,55499,12,12
103646,55506,29,34
103647,55507,14,14
103648,63152,23,23
103650,55528,27,30
103651,55529,30,40
103652,63160,16,16
103656,55543,11,11
103659,63137,36,38
103660,63172,14,14
103661,63177,20,20
103662,63176,12,12
103663,55558,32,39
103664,55559,19,19
103666,55567,11,12
103669,63180,12,12
103671,55568,15,15
103674,55578,7,7
103675,55557,12,12
103676,63188,19,19
103679,55600,16,16
103680,55566,16,18
103681,63194,14,14
103682,55617,58,84
103683,63208,14,15
103684,55618,60,63
103685,63202,8,8
103686,63203,30,33
103687,55625,22,22
103688,63207,9,9
103689,55619,18,18
103691,55607,15,15
103693,63225,19,19
103695,55690,39,63
103696,55666,71,85
103697,63234,59,112
103699,63242,24,24
103700,55684,103,107
103702,55716,32,55
103706,55691,15,15
103707,63257,18,18
103708,63256,25,25
103712,55683,13,13
103713,63241,20,20
103714,55717,21,23
103716,63277,22,31
103718,63267,19,19
103719,55729,12,12
103721,55697,22,22
103724,63278,22,22
103725,55750,69,70
103728,63288,13,13
103729,55706,43,43
103730,55769,16,16
103731,63295,14,16
103734,63298,13,13
103735,63296,25,25
103737,63303,20,20
103738,63304,15,15
103739,55827,72,82
103740,55818,7,7
103741,63312,19,19
103744,63311,18,32
103745,55817,136,139
103746,55819,15,15
103747,63318,14,22
103751,55856,116,120
103752,63338,15,15
103754,55857,6,8
103755,63336,24,24
103756,63344,20,20
103758,63354,20,20
103761,63357,27,27
103762,55883,22,22
103763,55895,16,16
103764,63379,18,18
103766,63370,13,13
103767,55913,52,61
103769,63376,17,17
103770,63377,17,17
103771,63378,24,24
103772,63386,19,22
103775,55925,20,20
103777,55942,52,64
103778,55937,60,60
103779,63392,14,14
103780,55938,51,51
103781,55948,36,36
103782,63401,19,20
103784,63405,11,11
103785,63413,25,25
103786,63417,26,34
103790,55987,10,10
103792,63433,21,21
103793,55993,29,29
103794,63432,26,26
103795,63439,18,18
103799,56025,107,109
103802,63461,15,15
103803,63468,22,22
103805,63473,26,27
103809,56042,28,28
103811,56069,39,43
103812,56070,65,76
103815,63502,13,16
103816,63508,6,6
103818,56096,91,99
103819,63515,18,21
103822,63493,24,24
103823,63516,20,20
103824,56117,28,28
103825,63528,1,1
103826,56139,63,65
103827,63522,23,29
103832,56128,39,39
103833,63540,18,18
103836,56158,64,64
103838,56130,21,23
103840,56169,87,93
103842,56171,24,24
103844,63555,16,16
103845,56180,19,19
103847,56189,19,19
103848,56211,16,16
103849,63572,29,29
103852,63598,121,138
103855,63584,3,5
103856,63620,23,23
103857,56248,20,20
103858,63626,16,16
103859,56272,51,55
103862,56224,8,8
103863,63619,32,32
103866,63639,56,56
103867,56288,24,24
103869,56273,24,25
103870,56287,43,44
103871,63672,58,61
103872,56324,18,18
103874,56337,109,112
103876,63671,11,11
103878,56338,31,31
103883,56349,18,18
103888,56381,12,12
103889,67686,26,50
103891,67687,44,81
103892,67684,29,29
103915,61924,23,23
103916,61925,25,25
103918,61928,22,22
103920,61927,24,27
103923,61935,34,34
103925,61934,28,46
103927,61947,29,35
103928,61948,20,21
103929,61941,48,49
103932,61949,23,23
